MÊS,2013,2014,2015,2016,2017,2018
01 - JAN,0,1,0,0,0,0
02 - FEV,2,1,1,2,1,1
03 - MAR,3,2,2,6,6,6
04 - ABR,5,5,3,6,1,3
05 - MAI,5,3,2,5,5,3
06 - JUN,4,1,3,5,4,10
07 - JUL,3,2,1,1,2,3
08 - AGO,6,6,6,4,3,9
09 - SET,5,7,5,5,4,5
10 - OUT,6,7,5,6,4,
11 - NOV,4,12,5,6,4,
12 - DEZ,0,1,0,2,0,
